SHOPNUMBER,ADDRESSLINE1,TOWNORCITY,POSTCODE,LONGITUDE,LATITUDE,DESCRIPTION,TITLE,UPDATED
S238,"Unit 5, Kingston Shopping Centre, Holderness Road",Hull,HU9 2AA,-0.31293,53.753482,I am the description,I am the title,yes
S239,48 High Street,Hythe,CT21 5AT,1.081674,51.07124,I am the description,I am the title,yes
S241,12a Church Street,Inverness,IV1 1EA,-4.225428,57.477945,I am the description,I am the title,yes
S242,"Unit 4, Garioch Centre",Inverurie,AB51 4UY,-2.376897,57.286607,I am the description,I am the title,yes
S243,"Unit 9, Greenways",Ipswich,IP3 9QJ,1.199525,52.030318,I am the description,I am the title,yes
S245,"Unit 2, East Road",Irvine,KA12 0AA,-4.666694,55.617152,I am the description,I am the title,yes
S246,2 High Street,Jedburgh,TD8 6AG,-2.554504,55.478499,I am the description,I am the title,yes
S247,56/57 Halkett Place,Jersey,JE2 4WG,-2.117669,49.198914,I am the description,I am the title,yes
S249,240-274 Bedford Road,Kempston,MK42 8PZ,-0.468056,52.117314,I am the description,I am the title,yes
S250,25 Market Street,Kendal,LA9 4TP,-2.74656,54.32834,I am the description,I am the title,yes
S251,23 Station Street,Keswick,CA12 5HH,-3.135339,54.600766,I am the description,I am the title,yes
S252,6 Queen Street,Kilmarnock,KA1 3DB,-4.496349,55.607894,I am the description,I am the title,yes
S253,"Unit 2, Rainbow Centre, Grimston Road",Kings Lynn,PE30 3UA,0.42682,52.77542,I am the description,I am the title,yes
S254,14 Market Street,Kirkby Stephen,CA17 4QS,-2.349249,54.474064,I am the description,I am the title,yes
S255,249 High Street,Kirkcaldy,KY1 1JF,-3.157332,56.112067,I am the description,I am the title,yes
S256,1 Market Place,Kirkham,PR4 2SD,-2.871247,53.782954,I am the description,I am the title,yes
S257,27 Cowgate,Kirkintilloch,G66 1HW,-4.157875,55.940614,I am the description,I am the title,yes
S258,9 Tatton Street,Knutsford,WA16 6AB,-2.375137,53.305203,I am the description,I am the title,yes
S259,59 Penny Street,Lancaster,LA1 1XF,-2.800018,54.047079,I am the description,I am the title,yes
S260,"Unit 3, Asda Complex, Station Street",Langley Mill,NG16 4LH,-1.330138,53.020192,I am the description,I am the title,yes
S261,10 Linn Road,Larne,BT4 2BA,-5.875314,54.600757,I am the description,I am the title,yes
S262,10 Victoria Terrace,Leamington Spa,CV31 3AB,-1.53354,52.286123,I am the description,I am the title,yes
S263,109 High Street,Lee on Solent,PO13 9BU,-1.201574,50.801147,I am the description,I am the title,yes
S264,37 Granby Street,Leicester,LE1 6EH,-1.130743,52.633648,I am the description,I am the title,yes
S265,1482 London Road,Leigh on Sea,SS9 2UR,0.63209,51.548087,I am the description,I am the title,yes
S266,24 Austhorpe Road,Leeds,LS15 8DX,-1.450396,53.807199,I am the description,I am the title,yes
S267,30 Otley Road,Leeds,LS20 8AH,-1.71093,53.873325,I am the description,I am the title,yes
S268,245 Selby Road,Leeds,LS15 OPH,-1.4555,53.7957,I am the description,I am the title,yes
S269,"Unit 10, Penny Hill Centre, Church Street",Leeds,LS10 2AP,-1.528645,53.778851,I am the description,I am the title,yes
S270,"Unit 2a, Northside Retail Park, Stonegate Road",Leeds,LS7 2TT,-1.564108,53.828733,I am the description,I am the title,yes
S271,"Unit 12, Windsor Court Shopping Centre",Leeds,LS27 9BG,-1.601735,53.7459,I am the description,I am the title,yes
S272,"Unit 4, Horsefair Centre",Leeds,LS22 6FL,-1.384209,53.929015,I am the description,I am the title,yes
S273,5 Shorehead,Leven,KY8 4NR,-2.998071,56.19363,I am the description,I am the title,yes
S274,4 Market Street,Limavady,BT49 0AA,-6.9525,55.0516,I am the description,I am the title,yes
S275,262-263 High Street,Lincoln,LN2 1HW,-0.539825,53.231137,I am the description,I am the title,yes
S276,"Unit 4, Nettleham Road Shopping Centre, Wolsey Way",Lincoln,LN2 4SX,-0.51618,53.250606,I am the description,I am the title,yes
S277,74 High Street,Littlehampton,BN17 5DX,-0.541239,50.809238,I am the description,I am the title,yes
S278,162 Walton Road,Liverpool,L4 4AZ,-2.972389,53.435126,I am the description,I am the title,yes
S279,3/5 Altway,Liverpool,L10 3GA,-2.928869,53.476283,I am the description,I am the title,yes
S280,19 Smithdown Place,Liverpool,L15 9EN,-2.913992,53.389187,I am the description,I am the title,yes
S281,112 Allerton Road,Liverpool,L18 2DG,-2.909449,53.386992,I am the description,I am the title,yes
